Ticker|EvalDate|Price|EntryTimeET|Change%|RelVol(TimeAdj63d)|Resistance|TP|RR_to_Res|RR_to_TP|SupportType|SupportPrice|Risk$|TPReward$|TPReward%|ResReward$|ResReward%|DailyATR|DailyCap|Hist21d_PassCount|Hist21d_Max%|Hist21d_Examples|ResLookbackDays|Prices|Session|EntrySrc|VolSrc|OptExpiry|BuyK|SellK|Width|DebitMid|DebitCons|MaxProfitMid|MaxProfitCons|RR_Spread_Mid|RR_Spread_Cons|BreakevenMid|PricingNote
KDP|2025-09-04|29.12|2025-09-04 09:54:16 ET|0.1|3.87|35.94|32.53|16.24|8.12|PivotLow|28.7|0.42|3.41|11.71|6.82|23.42|0.9443|19.83|1|12.17|2025-01-24:+12.17%; 2025-01-23:+9.89%; 2025-01-22:+8.06%|21|35.2,35.14,31.1,28.95,29.72,29.29,29.09,28.91,29.09,29.12|OPEN|daily_partial_close|daily_partial|2025-10-17|28.0|33.0|5.0|0.0|0.0|5.0|5.0|||28.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CNP|2025-09-04|37.64|2025-09-04 09:53:17 ET|0.05|1.52|39.39|38.51|7.0|3.5|SwingLow21|37.39|0.25|0.875|2.32|1.75|4.65|0.4832|10.1475|130|12.42|2024-11-01:+12.42%; 2024-10-30:+11.48%; 2024-11-04:+11.3%|21|38.0,38.05,37.7,37.7,37.73,37.48,37.71,37.94,37.62,37.64|OPEN|daily_partial_close|daily_partial|2025-10-17|38.0|39.0|1.0|0.0|0.0|1.0|1.0|||38.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
EVRG|2025-09-04|72.0|2025-09-04 09:53:42 ET|0.86|6.2|73.97|72.99|2.3|1.15|PivotLow|71.15|0.855|0.9825|1.36|1.965|2.73|0.7838|16.4588|117|10.55|2025-01-10:+10.55%; 2025-01-13:+9.49%; 2025-01-29:+9.35%|21|72.54,72.3,71.65,71.76,72.06,71.21,71.26,71.27,71.39,72.0|OPEN|daily_partial_close|daily_partial|2025-10-17|70.0|72.5|2.5|0.0|0.0|2.5|2.5|||70.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
NKE|2025-09-04|75.34|2025-09-04 09:54:39 ET|0.8|2.97|80.17|77.75|23.18|11.59|PivotLow|75.13|0.2084|2.4158|3.21|4.8316|6.41|1.6886|35.46|76|26.7|2025-06-26:+26.7%; 2025-06-23:+26.28%; 2025-06-20:+26.09%|21|76.18,78.38,79.17,78.65,78.06,77.92,77.37,74.29,74.74,75.34|OPEN|daily_partial_close|daily_partial|2025-10-03|73.0|78.0|5.0|0.0|0.0|5.0|5.0|||73.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
K|2025-09-04|79.29|2025-09-04 09:54:15 ET|0.32|1.6|80.23|79.76|2.42|1.21|ATR1.5x|78.9|0.3889|0.47|0.59|0.94|1.19|0.2593|5.445|63|2.54|2025-06-25:+2.54%; 2025-06-20:+1.81%; 2024-12-19:+1.78%|21|79.99,80.15,79.96,79.81,79.76,79.47,79.5,78.94,79.04,79.29|OPEN|daily_partial_close|daily_partial|2025-10-17|60.0|80.0|20.0|0.0|0.0|20.0|20.0|||60.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
WEC|2025-09-04|107.96|2025-09-04 09:55:27 ET|1.0|3.01|111.9|109.93|2.51|1.25|PivotLow|106.39|1.57|1.97|1.82|3.94|3.65|1.3643|28.65|102|9.95|2025-01-10:+9.95%; 2025-01-14:+9.73%; 2025-01-06:+9.41%|21|108.48,108.54,106.96,107.16,107.68,106.31,106.51,106.02,106.89,107.96|OPEN|daily_partial_close|daily_partial|2025-10-17|105.0|110.0|5.0|0.0|0.0|5.0|5.0|||105.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
DELL|2025-09-04|124.7|2025-09-04 09:53:31 ET|0.55|1.63|142.11|133.4|2.8|1.4|ATR1.5x|118.49|6.2118|8.705|6.98|17.41|13.96|4.1412|86.9655|88|38.65|2025-04-21:+38.65%; 2025-04-16:+36.98%; 2025-04-17:+34.76%|21|127.83,130.84,131.01,130.99,132.5,134.05,122.15,120.96,124.02,124.7|OPEN|daily_partial_close|daily_partial|2025-10-03|128.0|133.0|5.0|0.0|0.0|5.0|5.0|||128.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
STZ|2025-09-04|146.7|2025-09-04 09:53:25 ET|0.14|1.83|174.32|160.51|32.88|16.44|SwingLow21|145.86|0.84|13.81|9.41|27.62|18.83|4.3864|92.115|9|12.59|2025-02-12:+12.59%; 2025-02-13:+12.51%; 2025-04-08:+11.95%|21|164.93,167.62,163.68,158.37,160.5,159.09,161.94,151.26,146.49,146.7|OPEN|daily_partial_close|daily_partial|2025-10-03|155.0|160.0|5.0|0.0|0.0|5.0|5.0|||155.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
PLTR|2025-09-04|154.9|2025-09-04 09:54:48 ET|0.0|1.79|190.0|172.45|7.59|3.79|PivotLow|150.28|4.625|17.5475|11.33|35.095|22.66|8.2621|173.505|126|80.66|2025-01-13:+80.66%; 2025-01-16:+79.98%; 2025-01-14:+78.9%|21|156.18,158.74,157.17,160.87,156.72,158.12,156.71,157.09,154.9,154.9|OPEN|daily_partial_close|daily_partial|2025-10-03|167.5|172.5|5.0|0.0|0.0|5.0|5.0|||167.5|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
PM|2025-09-04|163.82|2025-09-04 09:54:52 ET|0.37|2.01|175.23|169.52|6.15|3.08|PivotLow|161.96|1.8559|5.707|3.48|11.4141|6.97|3.4736|72.945|108|27.51|2025-01-13:+27.51%; 2025-01-15:+26.96%; 2025-01-10:+26.32%|21|174.49,171.75,167.37,166.68,164.19,165.77,167.13,167.4,163.22,163.82|OPEN|daily_partial_close|daily_partial|2025-10-03|165.0|170.0|5.0|0.0|0.0|5.0|5.0|||165.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
HON|2025-09-04|214.18|2025-09-04 09:54:03 ET|0.09|2.1|223.08|218.63|4.29|2.14|SwingLow21|212.11|2.075|4.4475|2.08|8.895|4.15|2.9636|62.2351|88|17.32|2025-04-08:+17.32%; 2025-04-21:+15.87%; 2025-04-16:+15.31%|21|217.42,222.83,220.61,222.56,221.25,221.35,219.5,217.6,214.0,214.18|OPEN|daily_partial_close|daily_partial|2025-10-03|215.0|220.0|5.0|0.0|0.0|5.0|5.0|||215.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
UNP|2025-09-04|222.03|2025-09-04 09:55:19 ET|0.12|2.05|231.32|226.68|5.56|2.78|PivotLow|220.36|1.67|4.645|2.09|9.29|4.18|3.9679|83.3251|69|12.02|2024-12-23:+12.02%; 2024-12-19:+11.16%; 2025-01-10:+10.0%|21|225.3,227.85,223.32,222.74,220.95,222.35,223.57,221.99,221.76,222.03|OPEN|daily_partial_close|daily_partial||||||||||||no_lower_strike
RMD|2025-09-04|269.32|2025-09-04 09:55:01 ET|0.04|2.19|293.81|281.57|6.39|3.2|SwingLow21|265.49|3.83|12.245|4.55|24.49|9.09|4.6936|98.565|64|19.01|2025-04-16:+19.01%; 2025-04-17:+18.99%; 2025-04-08:+18.85%|21|288.34,293.73,285.8,285.17,281.96,275.38,274.51,270.99,269.21,269.32|OPEN|daily_partial_close|daily_partial|2025-10-17|270.0|280.0|10.0|0.0|0.0|10.0|10.0|||270.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CME|2025-09-04|271.02|2025-09-04 09:53:22 ET|0.62|4.07|288.28|279.65|3.0|1.5|ATR1.5x|265.26|5.76|8.6275|3.18|17.255|6.37|3.84|80.64|98|12.86|2025-04-07:+12.86%; 2025-04-09:+11.89%; 2025-04-04:+11.21%|21|273.32,269.52,271.39,271.61,270.12,266.77,266.51,265.4,269.35,271.02|OPEN|daily_partial_close|daily_partial|2025-10-17|270.0|280.0|10.0|0.0|0.0|10.0|10.0|||270.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
ZBRA|2025-09-04|307.83|2025-09-04 09:55:32 ET|0.69|1.52|350.64|329.24|8.36|4.18|PivotLow|302.71|5.12|21.405|6.95|42.81|13.91|7.2896|153.0826|65|34.36|2025-04-10:+34.36%; 2025-04-11:+34.13%; 2025-04-16:+33.75%|21|308.51,322.79,319.55,320.58,321.43,322.0,317.09,307.07,305.71,307.83|OPEN|daily_partial_close|daily_partial|2025-10-17|320.0|330.0|10.0|0.0|0.0|10.0|10.0|||320.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
