Ticker,EvalDate,Price,EntryTimeET,Change%,RelVol(TimeAdj63d),Resistance,TP,RR_to_Res,RR_to_TP,SupportType,SupportPrice,Risk$,TPReward$,TPReward%,ResReward$,ResReward%,DailyATR,DailyCap,Hist21d_PassCount,Hist21d_Max%,Hist21d_Examples,ResLookbackDays,Prices,Session,EntrySrc,VolSrc,OptExpiry,BuyK,SellK,Width,DebitMid,DebitCons,MaxProfitMid,MaxProfitCons,RR_Spread_Mid,RR_Spread_Cons,BreakevenMid,PricingNote,run_date
AEP,2025-09-04,110.65,2025-09-04 09:42:03 ET,0.56,1.66,115.36,113.01,2.62,1.31,SwingLow21,108.85,1.8,2.355,2.13,4.71,4.26,1.4179,29.775,97,10.92,2025-01-07:+10.92%; 2025-01-06:+10.91%; 2025-07-03:+10.73%,21,"113.14,114.02,113.01,112.63,112.89,111.78,111.02,110.09,110.03,110.65",OPEN,daily_partial_close,daily_partial,2025-10-17,110.0,115.0,5.0,0.0,0.0,5.0,5.0,,,110.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
HON,2025-09-04,214.16,2025-09-04 09:43:30 ET,0.07,2.88,223.08,218.62,4.35,2.18,SwingLow21,212.11,2.05,4.46,2.08,8.92,4.17,2.9593,62.1451,88,17.32,2025-04-08:+17.32%; 2025-04-21:+15.87%; 2025-04-16:+15.31%,21,"217.42,222.83,220.61,222.56,221.25,221.35,219.5,217.6,214.0,214.16",OPEN,daily_partial_close,daily_partial,2025-10-03,215.0,220.0,5.0,0.0,0.0,5.0,5.0,,,215.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
UNP,2025-09-04,222.23,2025-09-04 09:45:06 ET,0.21,3.12,231.32,226.77,4.87,2.44,PivotLow,220.36,1.866,4.547,2.05,9.094,4.09,3.9679,83.3251,70,12.02,2024-12-23:+12.02%; 2024-12-19:+11.16%; 2025-01-10:+10.0%,21,"225.3,227.85,223.32,222.74,220.95,222.35,223.57,221.99,221.76,222.23",OPEN,daily_partial_close,daily_partial,,,,,,,,,,,,no_lower_strike,2025-09-04
PAYC,2025-09-04,222.52,2025-09-04 09:44:29 ET,0.53,1.7,248.95,235.74,4.19,2.1,PivotLow,216.21,6.305,13.215,5.94,26.43,11.88,5.1966,109.128,56,44.49,2024-10-08:+44.49%; 2024-10-25:+42.52%; 2024-10-28:+41.17%,21,"225.32,233.89,230.78,225.97,227.89,225.71,227.15,220.0,221.35,222.52",OPEN,daily_partial_close,daily_partial,2025-10-17,230.0,240.0,10.0,0.0,0.0,10.0,10.0,,,230.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
CME,2025-09-04,270.86,2025-09-04 09:42:36 ET,0.56,7.22,288.28,279.57,3.03,1.52,ATR1.5x,265.12,5.7418,8.71,3.22,17.42,6.43,3.8279,80.385,98,12.86,2025-04-07:+12.86%; 2025-04-09:+11.89%; 2025-04-04:+11.21%,21,"273.32,269.52,271.39,271.61,270.12,266.77,266.51,265.4,269.35,270.86",OPEN,daily_partial_close,daily_partial,2025-10-17,270.0,280.0,10.0,0.0,0.0,10.0,10.0,,,270.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
ZBRA,2025-09-04,306.81,2025-09-04 09:45:23 ET,0.36,1.8,350.64,328.73,10.69,5.35,PivotLow,302.71,4.1,21.915,7.14,43.83,14.29,7.1907,151.0051,65,34.36,2025-04-10:+34.36%; 2025-04-11:+34.13%; 2025-04-16:+33.75%,21,"308.51,322.79,319.55,320.58,321.43,322.0,317.09,307.07,305.71,306.81",OPEN,daily_partial_close,daily_partial,2025-10-17,320.0,330.0,10.0,0.0,0.0,10.0,10.0,,,320.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
ERIE,2025-09-04,328.65,2025-09-04 09:43:06 ET,0.15,1.59,380.67,354.66,10.63,5.31,SwingLow21,323.76,4.895,26.0075,7.91,52.015,15.83,7.4561,156.5774,11,12.66,2025-01-30:+12.66%; 2025-02-04:+11.54%; 2025-02-12:+10.82%,21,"359.82,366.36,363.32,350.1,350.79,351.36,354.38,338.06,328.17,328.65",OPEN,daily_partial_close,daily_partial,,,,,,,,,,,,no_lower_strike,2025-09-04
SHW,2025-09-04,365.39,2025-09-04 09:44:49 ET,0.65,5.65,379.65,372.52,2.32,1.16,PivotLow,359.24,6.145,7.1325,1.95,14.265,3.9,6.0679,127.425,81,12.78,2025-04-08:+12.78%; 2025-04-21:+11.42%; 2024-10-25:+11.33%,21,"363.86,372.93,367.0,366.46,367.4,366.18,365.83,360.92,363.03,365.39",OPEN,daily_partial_close,daily_partial,2025-10-17,360.0,370.0,10.0,0.0,0.0,10.0,10.0,,,360.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
REGN,2025-09-04,568.19,2025-09-04 09:44:40 ET,0.78,1.62,610.45,589.32,38.07,19.04,PivotLow,567.08,1.11,21.13,3.72,42.26,7.44,16.9643,356.2502,39,13.39,2025-06-05:+13.39%; 2025-06-03:+12.2%; 2025-06-06:+12.04%,21,"598.16,589.48,572.38,587.65,586.96,579.61,580.7,577.9,563.8,568.19",OPEN,daily_partial_close,daily_partial,2025-10-03,570.0,590.0,20.0,0.0,0.0,20.0,20.0,,,570.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
GEV,2025-09-04,585.13,2025-09-04 09:43:20 ET,1.4,2.27,669.38,627.26,4.28,2.14,SwingLow21,565.43,19.7,42.1265,7.2,84.253,14.4,21.8323,458.4781,137,47.79,2025-04-04:+47.79%; 2025-04-21:+43.75%; 2025-04-07:+42.21%,21,"606.0,607.07,602.31,625.91,622.39,633.69,612.97,579.68,577.04,585.13",OPEN,daily_partial_close,daily_partial,2025-10-03,620.0,625.0,5.0,0.0,0.0,5.0,5.0,,,620.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
COST,2025-09-04,955.6,2025-09-04 09:42:44 ET,0.61,1.52,999.3,977.45,2.15,1.07,ATR1.5x,935.26,20.3443,21.85,2.29,43.7,4.57,13.5629,284.8201,97,17.4,2025-01-14:+17.4%; 2025-01-15:+16.06%; 2025-01-13:+15.19%,21,"969.68,958.54,941.58,941.34,949.52,944.96,943.32,938.82,949.78,955.6",OPEN,daily_partial_close,daily_partial,2025-10-03,970.0,975.0,5.0,0.0,0.0,5.0,5.0,,,970.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
TDG,2025-09-04,1280.0,2025-09-04 09:45:02 ET,0.12,3.89,1466.13,1373.07,10.95,5.47,SwingLow21,1263.0,17.0,93.065,7.27,186.13,14.54,31.0664,652.3951,23,12.44,2025-04-04:+12.44%; 2025-04-08:+12.44%; 2025-06-17:+12.06%,21,"1393.14,1408.46,1389.98,1413.34,1395.04,1398.06,1398.88,1304.88,1278.48,1280.0",OPEN,daily_partial_close,daily_partial,2025-10-17,1330.0,1390.0,60.0,0.0,0.0,60.0,60.0,,,1330.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
