Ticker,EvalDate,Price,EntryTimeET,Change%,RelVol(TimeAdj63d),Resistance,TP,RR_to_Res,RR_to_TP,SupportType,SupportPrice,Risk$,TPReward$,TPReward%,ResReward$,ResReward%,DailyATR,DailyCap,Hist21d_PassCount,Hist21d_Max%,Hist21d_Examples,ResLookbackDays,Prices,Session,EntrySrc,VolSrc,OptExpiry,BuyK,SellK,Width,DebitMid,DebitCons,MaxProfitMid,MaxProfitCons,RR_Spread_Mid,RR_Spread_Cons,BreakevenMid,PricingNote,run_date
CNP,2025-09-05,37.76,2025-09-05 09:48:55 ET,0.8,1.7,39.25,38.5,4.03,2.01,PivotLow,37.39,0.37,0.745,1.97,1.49,3.95,0.5457,11.46,139,12.42,2024-11-01:+12.42%; 2024-10-30:+11.48%; 2024-11-04:+11.3%,21,"38.05,37.7,37.7,37.73,37.48,37.71,37.94,37.62,37.46,37.76",OPEN,daily_partial_close,daily_partial,2025-10-17,37.0,38.0,1.0,0.0,0.0,1.0,1.0,,,37.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-05
NEE,2025-09-05,71.39,2025-09-05 09:50:33 ET,0.73,2.1,77.42,74.4,4.9,2.45,SwingLow21,70.16,1.23,3.015,4.22,6.03,8.45,1.49,31.29,37,15.04,2025-04-21:+15.04%; 2025-04-16:+14.26%; 2025-04-17:+11.39%,21,"76.32,75.32,74.84,73.89,72.09,72.05,72.65,71.63,70.87,71.39",OPEN,daily_partial_close,daily_partial,2025-10-03,69.0,74.0,5.0,0.0,0.0,5.0,5.0,,,69.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-05
UPS,2025-09-05,85.37,2025-09-05 09:51:19 ET,1.05,3.0,89.41,87.39,2.38,1.19,SwingLow21,83.67,1.7,2.02,2.37,4.04,4.73,1.685,35.385,52,8.94,2024-12-19:+8.94%; 2025-02-05:+8.69%; 2025-06-02:+8.4%,21,"88.82,87.74,87.46,87.86,87.27,87.44,85.23,85.29,84.48,85.37",OPEN,daily_partial_close,daily_partial,2025-10-03,86.0,87.0,1.0,0.0,0.0,1.0,1.0,,,86.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-05
UBER,2025-09-05,92.04,2025-09-05 09:51:16 ET,0.06,1.94,97.54,94.79,12.81,6.4,PivotLow,91.61,0.4295,2.7503,2.99,5.5005,5.98,2.5343,53.22,117,32.82,2025-04-04:+32.82%; 2025-04-07:+27.44%; 2025-04-11:+26.9%,21,"96.79,95.16,96.53,95.33,95.96,93.75,92.81,92.94,91.98,92.04",OPEN,daily_partial_close,daily_partial,2025-10-03,90.0,95.0,5.0,0.0,0.0,5.0,5.0,,,90.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-05
KKR,2025-09-05,137.89,2025-09-05 09:50:04 ET,0.39,1.69,149.3,143.6,2.51,1.25,SwingLow21,133.34,4.55,5.705,4.14,11.41,8.27,3.175,66.675,109,26.74,2025-04-21:+26.74%; 2025-04-08:+25.63%; 2025-04-14:+25.11%,21,"141.77,138.71,140.08,140.47,140.09,139.49,138.74,134.83,137.35,137.89",OPEN,daily_partial_close,daily_partial,2025-10-03,139.0,142.0,3.0,0.0,0.0,3.0,3.0,,,139.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-05
TXN,2025-09-05,187.34,2025-09-05 09:51:11 ET,0.03,3.56,209.09,198.21,3.85,1.92,SwingLow21,181.69,5.65,10.875,5.8,21.75,11.61,4.9568,104.0925,67,29.6,2025-04-21:+29.6%; 2025-04-16:+28.63%; 2025-04-11:+27.51%,21,"206.06,205.97,205.98,205.47,204.09,202.48,199.81,195.74,187.29,187.34",OPEN,daily_partial_close,daily_partial,2025-10-03,195.0,200.0,5.0,0.0,0.0,5.0,5.0,,,195.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-05
